"group","local_path","source_url","retrieved_at_utc","status","http_status","content_type","size_bytes","sha256","error","data_origin"
"wsdot_c8078_idr","raw/wsdot/C8078/idrs/IDR-2011-02-16-TN.pdf","https://data.wsdot.wa.gov/accountability/ssb5806/Repository/7_Project%20Delivery/C-8078%20-%20Temp%20Test%20Pile/1-25%20Inspector%27s%20Daily%20Report/IDR-2011-02-16-TN.pdf","2026-09-01T09:34:58.8939305Z","downloaded","200","application/pdf","343404","1f95690331aedc4d413fcafc448440389aee3288cabf06408899cdb1456dd097","","real"
"wsdot_c8078_idr","raw/wsdot/C8078/idrs/IDR-2011-02-16.pdf","https://data.wsdot.wa.gov/accountability/ssb5806/Repository/7_Project%20Delivery/C-8078%20-%20Temp%20Test%20Pile/1-25%20Inspector%27s%20Daily%20Report/IDR-2011-02-16.pdf","2026-09-01T09:34:58.8939305Z","downloaded","200","application/pdf","849445","cbfa3ca084e47c06749ddbdac91a79d53aed84d7dcc133a150812e9e45efa383","","real"
"wsdot_c8078_idr","raw/wsdot/C8078/idrs/IDR-2011-02-17-TN.pdf","https://data.wsdot.wa.gov/accountability/ssb5806/Repository/7_Project%20Delivery/C-8078%20-%20Temp%20Test%20Pile/1-25%20Inspector%27s%20Daily%20Report/IDR-2011-02-17-TN.pdf","2026-09-01T09:34:58.8939305Z","downloaded","200","application/pdf","371844","3e8d5e56e40631577d9419fe0d618c462aab48a2a6742469b4045a3199b121c9","","real"
"wsdot_c8078_idr","raw/wsdot/C8078/idrs/IDR-2011-02-17.pdf","https://data.wsdot.wa.gov/accountability/ssb5806/Repository/7_Project%20Delivery/C-8078%20-%20Temp%20Test%20Pile/1-25%20Inspector%27s%20Daily%20Report/IDR-2011-02-17.pdf","2026-09-01T09:34:58.8939305Z","downloaded","200","application/pdf","796049","6c77197f81ddbd674985c1ce18759fe2afd57fc0b6ceccc6eb5c15d9b67ad263","","real"
"wsdot_c8078_idr","raw/wsdot/C8078/idrs/IDR-2011-02-18.pdf","https://data.wsdot.wa.gov/accountability/ssb5806/Repository/7_Project%20Delivery/C-8078%20-%20Temp%20Test%20Pile/1-25%20Inspector%27s%20Daily%20Report/IDR-2011-02-18.pdf","2026-09-01T09:34:58.8939305Z","downloaded","200","application/pdf","341408","efd78d234fa50ead725ef0599cfec200e63eeebe3d1ee4970d201fed480a0aa1","","real"
"wsdot_c8078_idr","raw/wsdot/C8078/idrs/IDR-2011-02-21.pdf","https://data.wsdot.wa.gov/accountability/ssb5806/Repository/7_Project%20Delivery/C-8078%20-%20Temp%20Test%20Pile/1-25%20Inspector%27s%20Daily%20Report/IDR-2011-02-21.pdf","2026-09-01T09:34:58.8939305Z","downloaded","200","application/pdf","341221","8911f347f3035de887e220394fd5d1fe9f30777114778579aeaedcd1b7d7d133","","real"
"wsdot_c8078_idr","raw/wsdot/C8078/idrs/IDR-2011-03-01.pdf","https://data.wsdot.wa.gov/accountability/ssb5806/Repository/7_Project%20Delivery/C-8078%20-%20Temp%20Test%20Pile/1-25%20Inspector%27s%20Daily%20Report/IDR-2011-03-01.pdf","2026-09-01T09:34:58.8939305Z","downloaded","200","application/pdf","4090222","8b1e79cd1ab6ac3d58054e8935f81a1a85c7f6b351a628c37d539239cb431dc8","","real"
"wsdot_c8078_idr","raw/wsdot/C8078/idrs/IDR-2011-03-02.pdf","https://data.wsdot.wa.gov/accountability/ssb5806/Repository/7_Project%20Delivery/C-8078%20-%20Temp%20Test%20Pile/1-25%20Inspector%27s%20Daily%20Report/IDR-2011-03-02.pdf","2026-09-01T09:34:58.8939305Z","downloaded","200","application/pdf","683455","114b8fcde880b13f3571b808c297896cb659a9e2e4d3c70d0da309ddb5f629bf","","real"
"wsdot_c8078_legacy_idr","raw/wsdot/C8078/legacy_idr_copies/021111_IDR_C8078_DT.pdf","https://data.wsdot.wa.gov/accountability/ssb5806/Repository/7_Project%20Delivery/C-8078%20-%20Temp%20Test%20Pile/IDR/021111_IDR_C8078_DT.pdf","2026-09-01T09:34:58.8939305Z","downloaded","200","application/pdf","1810160","e88821cfa0d68aff1e22a3cea182f856978a185915114b4180d67f446be5451a","","real"
"wsdot_c8078_legacy_idr","raw/wsdot/C8078/legacy_idr_copies/021211_IDR_C8078_DT.pdf","https://data.wsdot.wa.gov/accountability/ssb5806/Repository/7_Project%20Delivery/C-8078%20-%20Temp%20Test%20Pile/IDR/021211_IDR_C8078_DT.pdf","2026-09-01T09:34:58.8939305Z","downloaded","200","application/pdf","1334737","1706be9d796cb8d22591bcbaec286ecb0363341b65a738cffd1337dd0ca0b773","","real"
