CFIHOS unique code,handover event name,handover event description,handover event reporting sequence number,data_origin,is_real,source_artifact_id,source_archive_member,source_row,annotation_origin,verification_status
CFIHOS-68000502,handover for commissioning,Project milestone of information handover for the start of commissioning activity,3,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE handover event v2.0.csv,1,source_reference_record,source_reference_record_unreviewed
CFIHOS-68000501,handover for construction,Project milestone of information handover for the start of construction activity,2,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE handover event v2.0.csv,2,source_reference_record,source_reference_record_unreviewed
CFIHOS-68000500,handover for detailed engineering,Project milestone of information handover for the start of detailed engineering activity,1,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE handover event v2.0.csv,3,source_reference_record,source_reference_record_unreviewed
CFIHOS-68000504,handover for operations,Project milestone of information handover for the start of operations activity,5,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE handover event v2.0.csv,4,source_reference_record,source_reference_record_unreviewed
CFIHOS-68000503,handover for start-up,Project milestone of information handover for the safe start-up activity,4,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE handover event v2.0.csv,5,source_reference_record,source_reference_record_unreviewed
