CFIHOS unique code,source standard code,source standard description,source standard still to be completed indicator,,data_origin,is_real,source_artifact_id,source_archive_member,source_row,annotation_origin,verification_status
CFIHOS-90000060,IOGP S-614:2018,Heat Exchangers – Shell and Tube to API Std 660,yes,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE source standard v2.0.csv,60,source_reference_record,source_reference_record_unreviewed
CFIHOS-90000061,IOGP S-615:2019,Pumps – Centrifugal to API Std 610,yes,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE source standard v2.0.csv,61,source_reference_record,source_reference_record_unreviewed
CFIHOS-90000062,IOGP S-616:2019,Line Pipe to API Spec 5L and ISO 3183,yes,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE source standard v2.0.csv,62,source_reference_record,source_reference_record_unreviewed
CFIHOS-90000063,IOGP S-617:2018,Cranes – Offshore General Purpose to EN 13852-1,yes,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE source standard v2.0.csv,63,source_reference_record,source_reference_record_unreviewed
CFIHOS-90000064,IOGP S-618:2018,Cranes – Offshore Pedestal Mounted to API Spec 2C,yes,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE source standard v2.0.csv,64,source_reference_record,source_reference_record_unreviewed
CFIHOS-90000065,IOGP S-619:2018,"Pressure Vessels – Unfired, Fusion Welded",yes,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE source standard v2.0.csv,65,source_reference_record,source_reference_record_unreviewed
CFIHOS-90000066,IOGP S-620:2018,High-voltage Switchgear & Controlgear to IEC 62271-200,yes,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE source standard v2.0.csv,66,source_reference_record,source_reference_record_unreviewed
CFIHOS-90000067,IOGP S-700:2020,Special Purpose Couplings,yes,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE source standard v2.0.csv,67,source_reference_record,source_reference_record_unreviewed
CFIHOS-90000068,IOGP S-703:2020,Low Voltage Motors – Specification,yes,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE source standard v2.0.csv,68,source_reference_record,source_reference_record_unreviewed
CFIHOS-90000069,IOGP S-705:2020,Welding of Pressure Containing Equipment & Piping,yes,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE source standard v2.0.csv,69,source_reference_record,source_reference_record_unreviewed
CFIHOS-90000070,IOGP S-708:2020,Subsea Pipeline Valves,yes,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE source standard v2.0.csv,70,source_reference_record,source_reference_record_unreviewed
