parent equipment class name,equipment class CFIHOS unique code,equipment class name,equipment class definition,abstract class indicator,spare part information required indicator,equipment class existence reason description,equipment class synonym name,data_origin,is_real,source_artifact_id,source_archive_member,source_row,annotation_origin,verification_status
electrical equipment class,CFIHOS-30000377,variable speed drive unit,A physical object that consists of an electric motor and controller that is used to adjust the motor's operating speed.,no,no,,variable frequency drive,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE equipment class v2.0.csv,283,source_reference_record,source_reference_record_unreviewed
transmitter,CFIHOS-30000378,vibration transmitter,A transmitter of which the output is proportional to a measured vibration.,no,yes,,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE equipment class v2.0.csv,284,source_reference_record,source_reference_record_unreviewed
transmitter,CFIHOS-30000380,weight transmitter,"A transmitter for weighing large quantities of material, and of which the output is proportional to the measured weight.",no,yes,,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE equipment class v2.0.csv,285,source_reference_record,source_reference_record_unreviewed
tool,CFIHOS-30000381,welding set,"A physical object for arc welding, either ac or dc, comprising a supply unit and a regulator.",no,yes,,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE equipment class v2.0.csv,286,source_reference_record,source_reference_record_unreviewed
electrical equipment class,CFIHOS-30000382,air conditioner,A physical object that is intended to bring air to a specified quality.,no,yes,,air conditioning unit; hvac,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE equipment class v2.0.csv,287,source_reference_record,source_reference_record_unreviewed
heat exchanger,CFIHOS-30000383,air cooled heat exchanger,A cooler that is intended to use air as the cooling medium.,no,yes,Required by owner-operators,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE equipment class v2.0.csv,288,source_reference_record,source_reference_record_unreviewed
heat exchanger,CFIHOS-30000384,boiler,An indirect contact heat exchanger that is intended to heat a liquid.,no,yes,,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE equipment class v2.0.csv,289,source_reference_record,source_reference_record_unreviewed
heat exchanger,CFIHOS-30000385,condenser,A cooler that is intended to change a vapour to liquid.,no,no,,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE equipment class v2.0.csv,290,source_reference_record,source_reference_record_unreviewed
heat exchanger,CFIHOS-30000386,cooler,A heat exchanger that is intended to cool a physical object.,no,yes,,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE equipment class v2.0.csv,291,source_reference_record,source_reference_record_unreviewed
heat exchanger,CFIHOS-30000387,cooling tower,A cooler and an air cooled heat exchanger that is a tall structure through which air circulates by convection.,no,yes,,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE equipment class v2.0.csv,292,source_reference_record,source_reference_record_unreviewed
