CFIHOS unique code,tag or equipment class CFIHOS unique code,tag or equipment class name,property CFIHOS unique code,property name,source standard code CFIHOS unique code,source standard code,source standard section,property name in source standard,property sequence number,data_origin,is_real,source_artifact_id,source_archive_member,source_row,annotation_origin,verification_status
CFIHOS-95000001,CFIHOS-30000805,alternating current motor,CFIHOS-40001393,equipment protection level,CFIHOS-90000068,IOGP S-703:2020,S703-DSE1-198,Equipment protection level,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE tag or equipment class property source standard v2.0.csv,1,source_reference_record,source_reference_record_unreviewed
CFIHOS-95000002,CFIHOS-30000805,alternating current motor,CFIHOS-40001393,equipment protection level,CFIHOS-90000068,IOGP S-703:2020,S703-DSE2-198,Equipment protection level,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE tag or equipment class property source standard v2.0.csv,2,source_reference_record,source_reference_record_unreviewed
CFIHOS-95000003,CFIHOS-30000805,alternating current motor,CFIHOS-40001393,equipment protection level,CFIHOS-90000111,IOGP S-704:2021,S704-DSE1-591,Equipment protection level,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE tag or equipment class property source standard v2.0.csv,3,source_reference_record,source_reference_record_unreviewed
CFIHOS-95000004,CFIHOS-30000805,alternating current motor,CFIHOS-40001393,equipment protection level,CFIHOS-90000111,IOGP S-704:2021,S704-DSE2-556,Equipment protection level,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE tag or equipment class property source standard v2.0.csv,4,source_reference_record,source_reference_record_unreviewed
CFIHOS-95000005,CFIHOS-30000805,alternating current motor,CFIHOS-40001387,adjustable speed drive operation curve requirements,CFIHOS-90000318,IOGP S-733:2022,S733-DSE-172,ASD operation curve,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE tag or equipment class property source standard v2.0.csv,5,source_reference_record,source_reference_record_unreviewed
CFIHOS-95000006,CFIHOS-30000805,alternating current motor,CFIHOS-40001350,bearing housing vibration limits,CFIHOS-90000111,IOGP S-704:2021,S704-DSE1-572,Bearing housing vibration limits,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE tag or equipment class property source standard v2.0.csv,6,source_reference_record,source_reference_record_unreviewed
CFIHOS-95000007,CFIHOS-30000805,alternating current motor,CFIHOS-40001350,bearing housing vibration limits,CFIHOS-90000111,IOGP S-704:2021,S704-DSE2-537,Bearing housing vibration limits,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE tag or equipment class property source standard v2.0.csv,7,source_reference_record,source_reference_record_unreviewed
CFIHOS-95000008,CFIHOS-30000805,alternating current motor,CFIHOS-40001182,bearing lubrication specification,CFIHOS-90000068,IOGP S-703:2020,S703-DSE1-174,Lubrication specification,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE tag or equipment class property source standard v2.0.csv,8,source_reference_record,source_reference_record_unreviewed
CFIHOS-95000009,CFIHOS-30000805,alternating current motor,CFIHOS-40001182,bearing lubrication specification,CFIHOS-90000068,IOGP S-703:2020,S703-DSE2-174,Lubrication specification,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE tag or equipment class property source standard v2.0.csv,9,source_reference_record,source_reference_record_unreviewed
CFIHOS-95000010,CFIHOS-30000805,alternating current motor,CFIHOS-40001182,bearing lubrication specification,CFIHOS-90000111,IOGP S-704:2021,S704-DSE1-546,Lubrication specification,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE tag or equipment class property source standard v2.0.csv,10,source_reference_record,source_reference_record_unreviewed
CFIHOS-95000011,CFIHOS-30000805,alternating current motor,CFIHOS-40001182,bearing lubrication specification,CFIHOS-90000111,IOGP S-704:2021,S704-DSE2-512,Lubrication specification,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE tag or equipment class property source standard v2.0.csv,11,source_reference_record,source_reference_record_unreviewed
CFIHOS-95000012,CFIHOS-30000805,alternating current motor,CFIHOS-40001182,bearing lubrication specification,CFIHOS-90000318,IOGP S-733:2022,S733-DSE-130,Oil mist lubricant,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE tag or equipment class property source standard v2.0.csv,12,source_reference_record,source_reference_record_unreviewed
CFIHOS-95000013,CFIHOS-30000805,alternating current motor,CFIHOS-40001182,bearing lubrication specification,CFIHOS-90000318,IOGP S-733:2022,S733-DSE-76,Recommended lubricant,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE tag or equipment class property source standard v2.0.csv,13,source_reference_record,source_reference_record_unreviewed
CFIHOS-95000014,CFIHOS-30000805,alternating current motor,CFIHOS-40001372,bearing operating life,CFIHOS-90000318,IOGP S-733:2022,S733-DSE-104,L10 life,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE tag or equipment class property source standard v2.0.csv,14,source_reference_record,source_reference_record_unreviewed
CFIHOS-95000015,CFIHOS-30000805,alternating current motor,CFIHOS-40001353,bearing temperature detectors,CFIHOS-90000111,IOGP S-704:2021,S704-DSE1-583,Bearing temperature detection,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE tag or equipment class property source standard v2.0.csv,15,source_reference_record,source_reference_record_unreviewed
CFIHOS-95000016,CFIHOS-30000805,alternating current motor,CFIHOS-40001353,bearing temperature detectors,CFIHOS-90000111,IOGP S-704:2021,S704-DSE2-548,Bearing temperature detection,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE tag or equipment class property source standard v2.0.csv,16,source_reference_record,source_reference_record_unreviewed
CFIHOS-95000017,CFIHOS-30000805,alternating current motor,CFIHOS-40001353,bearing temperature detectors,CFIHOS-90000318,IOGP S-733:2022,S733-DSE-150,Bearing temperature detectors,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE tag or equipment class property source standard v2.0.csv,17,source_reference_record,source_reference_record_unreviewed
CFIHOS-95000018,CFIHOS-30000805,alternating current motor,CFIHOS-40001364,bearing type,CFIHOS-90000111,IOGP S-704:2021,S704-DSE1-543,Required bearing type,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE tag or equipment class property source standard v2.0.csv,18,source_reference_record,source_reference_record_unreviewed
CFIHOS-95000019,CFIHOS-30000805,alternating current motor,CFIHOS-40001364,bearing type,CFIHOS-90000111,IOGP S-704:2021,S704-DSE2-509,Required bearing type,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE tag or equipment class property source standard v2.0.csv,19,source_reference_record,source_reference_record_unreviewed
CFIHOS-95000020,CFIHOS-30000805,alternating current motor,CFIHOS-40000032,cable cross sectional area,CFIHOS-90000111,IOGP S-704:2021,S704-DSE1-533(a),cable cross sectional area,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE tag or equipment class property source standard v2.0.csv,20,source_reference_record,source_reference_record_unreviewed
CFIHOS-95000021,CFIHOS-30000805,alternating current motor,CFIHOS-40000032,cable cross sectional area,CFIHOS-90000111,IOGP S-704:2021,S704-DSE2-500(a),cable cross sectional area,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE tag or equipment class property source standard v2.0.csv,21,source_reference_record,source_reference_record_unreviewed
CFIHOS-95000022,CFIHOS-30000805,alternating current motor,CFIHOS-40000906,cold air temperature at rated power,CFIHOS-90000111,IOGP S-704:2021,S704-DSE1-615,Cold air temperature at rated power,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE tag or equipment class property source standard v2.0.csv,22,source_reference_record,source_reference_record_unreviewed
CFIHOS-95000023,CFIHOS-30000805,alternating current motor,CFIHOS-40000906,cold air temperature at rated power,CFIHOS-90000111,IOGP S-704:2021,S704-DSE2-577,Cold air temperature at rated power,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE tag or equipment class property source standard v2.0.csv,23,source_reference_record,source_reference_record_unreviewed
CFIHOS-95000024,CFIHOS-30000805,alternating current motor,CFIHOS-40000928,conformity assessment system level,CFIHOS-90000068,IOGP S-703:2020,S703-DSE1-105,Conformity Assessment System (CAS) level,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE tag or equipment class property source standard v2.0.csv,24,source_reference_record,source_reference_record_unreviewed
CFIHOS-95000025,CFIHOS-30000805,alternating current motor,CFIHOS-40000928,conformity assessment system level,CFIHOS-90000068,IOGP S-703:2020,S703-DSE2-105,Conformity Assessment System (CAS) level,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE tag or equipment class property source standard v2.0.csv,25,source_reference_record,source_reference_record_unreviewed
CFIHOS-95000026,CFIHOS-30000805,alternating current motor,CFIHOS-40000928,conformity assessment system level,CFIHOS-90000111,IOGP S-704:2021,S704-DSE1-434,Conformity assessment system (CAS) level,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE tag or equipment class property source standard v2.0.csv,26,source_reference_record,source_reference_record_unreviewed
CFIHOS-95000027,CFIHOS-30000805,alternating current motor,CFIHOS-40000928,conformity assessment system level,CFIHOS-90000111,IOGP S-704:2021,S704-DSE2-429,Conformity assessment system (CAS) level,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE tag or equipment class property source standard v2.0.csv,27,source_reference_record,source_reference_record_unreviewed
CFIHOS-95000028,CFIHOS-30000805,alternating current motor,CFIHOS-40000928,conformity assessment system level,CFIHOS-90000318,IOGP S-733:2022,S733-DSE-326,Conformity assessment system (CAS) level,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE tag or equipment class property source standard v2.0.csv,28,source_reference_record,source_reference_record_unreviewed
CFIHOS-95000029,CFIHOS-30000805,alternating current motor,CFIHOS-40001348,cooling water specification,CFIHOS-90000111,IOGP S-704:2021,S704-DSE1-565,Cooling water specification,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE tag or equipment class property source standard v2.0.csv,29,source_reference_record,source_reference_record_unreviewed
CFIHOS-95000030,CFIHOS-30000805,alternating current motor,CFIHOS-40001348,cooling water specification,CFIHOS-90000111,IOGP S-704:2021,S704-DSE2-530,Cooling water specification,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE tag or equipment class property source standard v2.0.csv,30,source_reference_record,source_reference_record_unreviewed
CFIHOS-95000031,CFIHOS-30000805,alternating current motor,CFIHOS-40001329,corrosivity category,CFIHOS-90000068,IOGP S-703:2020,S703-DSE1-184,Surface protection corrosivity category,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE tag or equipment class property source standard v2.0.csv,31,source_reference_record,source_reference_record_unreviewed
CFIHOS-95000032,CFIHOS-30000805,alternating current motor,CFIHOS-40001329,corrosivity category,CFIHOS-90000068,IOGP S-703:2020,S703-DSE2-184,Surface protection corrosivity category,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE tag or equipment class property source standard v2.0.csv,32,source_reference_record,source_reference_record_unreviewed
CFIHOS-95000033,CFIHOS-30000805,alternating current motor,CFIHOS-40001329,corrosivity category,CFIHOS-90000111,IOGP S-704:2021,S704-DSE1-578,Surface protection corrosivity category,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE tag or equipment class property source standard v2.0.csv,33,source_reference_record,source_reference_record_unreviewed
CFIHOS-95000034,CFIHOS-30000805,alternating current motor,CFIHOS-40001329,corrosivity category,CFIHOS-90000111,IOGP S-704:2021,S704-DSE2-543,Surface protection corrosivity category,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE tag or equipment class property source standard v2.0.csv,34,source_reference_record,source_reference_record_unreviewed
CFIHOS-95000035,CFIHOS-30000805,alternating current motor,CFIHOS-40001329,corrosivity category,CFIHOS-90000318,IOGP S-733:2022,S733-DSE-86,Atmospheric corrosivity category,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE tag or equipment class property source standard v2.0.csv,35,source_reference_record,source_reference_record_unreviewed
CFIHOS-95000036,CFIHOS-30000805,alternating current motor,CFIHOS-40000929,country region,CFIHOS-90000318,IOGP S-733:2022,S733-DSE-328,Project region,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE tag or equipment class property source standard v2.0.csv,36,source_reference_record,source_reference_record_unreviewed
CFIHOS-95000037,CFIHOS-30000805,alternating current motor,CFIHOS-40001358,coupling hub fit,CFIHOS-90000111,IOGP S-704:2021,S704-DSE1-609,Coupling hub fit,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE tag or equipment class property source standard v2.0.csv,37,source_reference_record,source_reference_record_unreviewed
CFIHOS-95000038,CFIHOS-30000805,alternating current motor,CFIHOS-40001358,coupling hub fit,CFIHOS-90000111,IOGP S-704:2021,S704-DSE2-571,Coupling hub fit,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE tag or equipment class property source standard v2.0.csv,38,source_reference_record,source_reference_record_unreviewed
CFIHOS-95000039,CFIHOS-30000805,alternating current motor,CFIHOS-40001346,coupling insulation,CFIHOS-90000111,IOGP S-704:2021,S704-DSE1-549,Insulated coupling,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE tag or equipment class property source standard v2.0.csv,39,source_reference_record,source_reference_record_unreviewed
CFIHOS-95000040,CFIHOS-30000805,alternating current motor,CFIHOS-40001346,coupling insulation,CFIHOS-90000111,IOGP S-704:2021,S704-DSE2-515,Insulated coupling,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE tag or equipment class property source standard v2.0.csv,40,source_reference_record,source_reference_record_unreviewed
CFIHOS-95000041,CFIHOS-30000805,alternating current motor,CFIHOS-40000067,coupling type,CFIHOS-90000111,IOGP S-704:2021,S704-DSE1-608,Coupling hub type,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE tag or equipment class property source standard v2.0.csv,41,source_reference_record,source_reference_record_unreviewed
CFIHOS-95000042,CFIHOS-30000805,alternating current motor,CFIHOS-40000067,coupling type,CFIHOS-90000111,IOGP S-704:2021,S704-DSE2-584,Coupling hub type,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE tag or equipment class property source standard v2.0.csv,42,source_reference_record,source_reference_record_unreviewed
CFIHOS-95000043,CFIHOS-30000805,alternating current motor,CFIHOS-40000492,cross section area,CFIHOS-90000068,IOGP S-703:2020,S703-DSE1-169,Line conductor cross-section area,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE tag or equipment class property source standard v2.0.csv,43,source_reference_record,source_reference_record_unreviewed
CFIHOS-95000044,CFIHOS-30000805,alternating current motor,CFIHOS-40000492,cross section area,CFIHOS-90000068,IOGP S-703:2020,S703-DSE2-169,Line conductor cross-section area,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE tag or equipment class property source standard v2.0.csv,44,source_reference_record,source_reference_record_unreviewed
CFIHOS-95000045,CFIHOS-30000805,alternating current motor,CFIHOS-40000492,cross section area,CFIHOS-90000111,IOGP S-704:2021,S704-DSE1-538,Space heater supply cable cross-section area,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE tag or equipment class property source standard v2.0.csv,45,source_reference_record,source_reference_record_unreviewed
CFIHOS-95000046,CFIHOS-30000805,alternating current motor,CFIHOS-40000492,cross section area,CFIHOS-90000111,IOGP S-704:2021,S704-DSE2-504,Space heater supply cable cross-section area,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE tag or equipment class property source standard v2.0.csv,46,source_reference_record,source_reference_record_unreviewed
CFIHOS-95000047,CFIHOS-30000805,alternating current motor,CFIHOS-40000916,current at lower limit continuous operating speed at maximum torque,CFIHOS-90000111,IOGP S-704:2021,S704-DSE2-472,Current at minimum continuous operating speed,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE tag or equipment class property source standard v2.0.csv,47,source_reference_record,source_reference_record_unreviewed
CFIHOS-95000048,CFIHOS-30000805,alternating current motor,CFIHOS-40000915,current at upper limit continuous operating speed at maximum torque,CFIHOS-90000111,IOGP S-704:2021,S704-DSE2-471,Current at maximum continuous operating speed,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE tag or equipment class property source standard v2.0.csv,48,source_reference_record,source_reference_record_unreviewed
CFIHOS-95000049,CFIHOS-30000805,alternating current motor,CFIHOS-40000915,current at upper limit continuous operating speed at maximum torque,CFIHOS-90000111,IOGP S-704:2021,S704-DSE2-473,Current at maximum continuous operating speed at maximum torque,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE tag or equipment class property source standard v2.0.csv,49,source_reference_record,source_reference_record_unreviewed
CFIHOS-95000050,CFIHOS-30000805,alternating current motor,CFIHOS-40001368,current transformer class,CFIHOS-90000111,IOGP S-704:2021,S704-DSE1-607(b),Current transformer ratio and class,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE tag or equipment class property source standard v2.0.csv,50,source_reference_record,source_reference_record_unreviewed
CFIHOS-95000051,CFIHOS-30000805,alternating current motor,CFIHOS-40001368,current transformer class,CFIHOS-90000111,IOGP S-704:2021,S704-DSE2-569(b),Current transformer ratio and class,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE tag or equipment class property source standard v2.0.csv,51,source_reference_record,source_reference_record_unreviewed
CFIHOS-95000052,CFIHOS-30000805,alternating current motor,CFIHOS-40001357,current transformer construction type,CFIHOS-90000111,IOGP S-704:2021,S704-DSE1-606,Current transformer construction type,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE tag or equipment class property source standard v2.0.csv,52,source_reference_record,source_reference_record_unreviewed
CFIHOS-95000053,CFIHOS-30000805,alternating current motor,CFIHOS-40001357,current transformer construction type,CFIHOS-90000111,IOGP S-704:2021,S704-DSE2-568,Current transformer construction type,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE tag or equipment class property source standard v2.0.csv,53,source_reference_record,source_reference_record_unreviewed
CFIHOS-95000054,CFIHOS-30000805,alternating current motor,CFIHOS-40001356,current transformer location,CFIHOS-90000111,IOGP S-704:2021,S704-DSE1-605,Current transformer location,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE tag or equipment class property source standard v2.0.csv,54,source_reference_record,source_reference_record_unreviewed
CFIHOS-95000055,CFIHOS-30000805,alternating current motor,CFIHOS-40001356,current transformer location,CFIHOS-90000111,IOGP S-704:2021,S704-DSE2-567,Current transformer location,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE tag or equipment class property source standard v2.0.csv,55,source_reference_record,source_reference_record_unreviewed
CFIHOS-95000056,CFIHOS-30000805,alternating current motor,CFIHOS-40001367,current transformer ratio,CFIHOS-90000111,IOGP S-704:2021,S704-DSE1-607(a),Current transformer ratio and class,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE tag or equipment class property source standard v2.0.csv,56,source_reference_record,source_reference_record_unreviewed
CFIHOS-95000057,CFIHOS-30000805,alternating current motor,CFIHOS-40001367,current transformer ratio,CFIHOS-90000111,IOGP S-704:2021,S704-DSE2-569(a),Current transformer ratio and class,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE tag or equipment class property source standard v2.0.csv,57,source_reference_record,source_reference_record_unreviewed
CFIHOS-95000058,CFIHOS-30000805,alternating current motor,CFIHOS-40001321,data for protection setting/power modelling requirements,CFIHOS-90000068,IOGP S-703:2020,S703-DSE1-146,Data for protection setting/power modelling,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE tag or equipment class property source standard v2.0.csv,58,source_reference_record,source_reference_record_unreviewed
CFIHOS-95000059,CFIHOS-30000805,alternating current motor,CFIHOS-40001321,data for protection setting/power modelling requirements,CFIHOS-90000068,IOGP S-703:2020,S703-DSE2-146,Data for protection setting/power modelling,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE tag or equipment class property source standard v2.0.csv,59,source_reference_record,source_reference_record_unreviewed
CFIHOS-95000060,CFIHOS-30000805,alternating current motor,CFIHOS-40001320,declared locked rotor current tolerance,CFIHOS-90000068,IOGP S-703:2020,S703-DSE1-137,Declared locked rotor current tolerance,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE tag or equipment class property source standard v2.0.csv,60,source_reference_record,source_reference_record_unreviewed
CFIHOS-95000061,CFIHOS-30000805,alternating current motor,CFIHOS-40001320,declared locked rotor current tolerance,CFIHOS-90000111,IOGP S-704:2021,S704-DSE1-478,Declared locked rotor current tolerance,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE tag or equipment class property source standard v2.0.csv,61,source_reference_record,source_reference_record_unreviewed
CFIHOS-95000062,CFIHOS-30000805,alternating current motor,CFIHOS-40000870,declared locked-rotor current at 100% rated voltage,CFIHOS-90000068,IOGP S-703:2020,S703-DSE1-138,Declared locked-rotor current at 100% rated voltage,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE tag or equipment class property source standard v2.0.csv,62,source_reference_record,source_reference_record_unreviewed
CFIHOS-95000063,CFIHOS-30000805,alternating current motor,CFIHOS-40000870,declared locked-rotor current at 100% rated voltage,CFIHOS-90000111,IOGP S-704:2021,S704-DSE1-480,Declared locked-rotor current at 100 % rated voltage,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE tag or equipment class property source standard v2.0.csv,63,source_reference_record,source_reference_record_unreviewed
CFIHOS-95000064,CFIHOS-30000805,alternating current motor,CFIHOS-40000871,declared locked-rotor current at 80% rated voltage,CFIHOS-90000068,IOGP S-703:2020,S703-DSE1-139,Declared locked-rotor current at 80% rated voltage,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE tag or equipment class property source standard v2.0.csv,64,source_reference_record,source_reference_record_unreviewed
