tag class CFIHOS unique code,tag class name,equipment class CFIHOS unique code,equipment class name,tag or equipment class relationship reason for mapping,data_origin,is_real,source_artifact_id,source_archive_member,source_row,annotation_origin,verification_status
CFIHOS-30000344,electrical socket,CFIHOS-30000344,electrical socket,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE tag class equipment class relationship v2.0.csv,248,source_reference_record,source_reference_record_unreviewed
CFIHOS-30000617,electrical switch,CFIHOS-30000617,electrical switch,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE tag class equipment class relationship v2.0.csv,249,source_reference_record,source_reference_record_unreviewed
CFIHOS-30000040,electromagnetic flow element,CFIHOS-30000040,electromagnetic flow element,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE tag class equipment class relationship v2.0.csv,250,source_reference_record,source_reference_record_unreviewed
CFIHOS-30000641,electronic circuit board,CFIHOS-30000641,electronic circuit board,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE tag class equipment class relationship v2.0.csv,251,source_reference_record,source_reference_record_unreviewed
CFIHOS-30000421,electronic controller,CFIHOS-30000421,electronic controller,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE tag class equipment class relationship v2.0.csv,252,source_reference_record,source_reference_record_unreviewed
CFIHOS-30000345,electronic frequency converter,CFIHOS-30000345,electronic frequency converter,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE tag class equipment class relationship v2.0.csv,253,source_reference_record,source_reference_record_unreviewed
CFIHOS-30000346,electronic power inverter,CFIHOS-30000346,electronic power inverter,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE tag class equipment class relationship v2.0.csv,254,source_reference_record,source_reference_record_unreviewed
CFIHOS-30000574,electrostatic precipitator,CFIHOS-30000574,electrostatic precipitator,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE tag class equipment class relationship v2.0.csv,255,source_reference_record,source_reference_record_unreviewed
CFIHOS-30000598,elevator,CFIHOS-30000598,elevator,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE tag class equipment class relationship v2.0.csv,256,source_reference_record,source_reference_record_unreviewed
CFIHOS-30000890,emergency grab bag,CFIHOS-30000890,emergency grab bag,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE tag class equipment class relationship v2.0.csv,257,source_reference_record,source_reference_record_unreviewed
CFIHOS-30000618,emergency position indicating radio beacon,CFIHOS-30000618,emergency position indicating radio beacon,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE tag class equipment class relationship v2.0.csv,258,source_reference_record,source_reference_record_unreviewed
CFIHOS-30000642,emergency shut down valve,CFIHOS-30000806,ball control valve,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE tag class equipment class relationship v2.0.csv,259,source_reference_record,source_reference_record_unreviewed
CFIHOS-30000642,emergency shut down valve,CFIHOS-30000809,butterfly control valve,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE tag class equipment class relationship v2.0.csv,260,source_reference_record,source_reference_record_unreviewed
CFIHOS-30000642,emergency shut down valve,CFIHOS-30000837,gate control valve,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE tag class equipment class relationship v2.0.csv,261,source_reference_record,source_reference_record_unreviewed
CFIHOS-30000642,emergency shut down valve,CFIHOS-30000681,solenoid valve,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE tag class equipment class relationship v2.0.csv,262,source_reference_record,source_reference_record_unreviewed
CFIHOS-30000683,engine,CFIHOS-30000527,diesel engine,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE tag class equipment class relationship v2.0.csv,263,source_reference_record,source_reference_record_unreviewed
CFIHOS-30000683,engine,CFIHOS-30000533,gas engine,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE tag class equipment class relationship v2.0.csv,264,source_reference_record,source_reference_record_unreviewed
CFIHOS-30000683,engine,CFIHOS-30000544,petrol engine,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE tag class equipment class relationship v2.0.csv,265,source_reference_record,source_reference_record_unreviewed
CFIHOS-30000968,envelope opening,CFIHOS-30000968,envelope opening,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE tag class equipment class relationship v2.0.csv,266,source_reference_record,source_reference_record_unreviewed
CFIHOS-30000969,envelope wall,CFIHOS-30000969,envelope wall,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE tag class equipment class relationship v2.0.csv,267,source_reference_record,source_reference_record_unreviewed
CFIHOS-30000970,equipment room,CFIHOS-30000970,equipment room,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE tag class equipment class relationship v2.0.csv,268,source_reference_record,source_reference_record_unreviewed
CFIHOS-30000891,evaporator,CFIHOS-30000891,evaporator,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE tag class equipment class relationship v2.0.csv,269,source_reference_record,source_reference_record_unreviewed
CFIHOS-30000042,exhaust,CFIHOS-30000042,exhaust,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE tag class equipment class relationship v2.0.csv,270,source_reference_record,source_reference_record_unreviewed
CFIHOS-30000892,expansion device,CFIHOS-30000892,expansion device,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE tag class equipment class relationship v2.0.csv,271,source_reference_record,source_reference_record_unreviewed
CFIHOS-30000043,expansion joint,CFIHOS-30000043,expansion joint,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE tag class equipment class relationship v2.0.csv,272,source_reference_record,source_reference_record_unreviewed
CFIHOS-30000531,extruder,CFIHOS-30000531,extruder,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE tag class equipment class relationship v2.0.csv,273,source_reference_record,source_reference_record_unreviewed
CFIHOS-30000044,eye bath,CFIHOS-30000044,eye bath,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE tag class equipment class relationship v2.0.csv,274,source_reference_record,source_reference_record_unreviewed
CFIHOS-30001009,eye wash bottle,CFIHOS-30001009,eye wash bottle,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE tag class equipment class relationship v2.0.csv,275,source_reference_record,source_reference_record_unreviewed
CFIHOS-30000045,fall arrestor block,CFIHOS-30000045,fall arrestor block,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE tag class equipment class relationship v2.0.csv,276,source_reference_record,source_reference_record_unreviewed
CFIHOS-30000532,fan,CFIHOS-30000532,fan,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE tag class equipment class relationship v2.0.csv,277,source_reference_record,source_reference_record_unreviewed
CFIHOS-30000046,fax machine,CFIHOS-30000046,fax machine,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE tag class equipment class relationship v2.0.csv,278,source_reference_record,source_reference_record_unreviewed
CFIHOS-30000566,feeder,CFIHOS-30000566,feeder,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE tag class equipment class relationship v2.0.csv,279,source_reference_record,source_reference_record_unreviewed
CFIHOS-30000047,fence,CFIHOS-30000047,fence,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE tag class equipment class relationship v2.0.csv,280,source_reference_record,source_reference_record_unreviewed
CFIHOS-30000599,fender,CFIHOS-30000599,fender,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE tag class equipment class relationship v2.0.csv,281,source_reference_record,source_reference_record_unreviewed
CFIHOS-30000575,filter,CFIHOS-30000575,filter,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE tag class equipment class relationship v2.0.csv,282,source_reference_record,source_reference_record_unreviewed
CFIHOS-30000576,filter cartridge,CFIHOS-30000576,filter cartridge,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE tag class equipment class relationship v2.0.csv,283,source_reference_record,source_reference_record_unreviewed
CFIHOS-30000827,finned tube heat exchanger,CFIHOS-30000827,finned tube heat exchanger,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE tag class equipment class relationship v2.0.csv,284,source_reference_record,source_reference_record_unreviewed
CFIHOS-30000048,fire blanket,CFIHOS-30000048,fire blanket,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE tag class equipment class relationship v2.0.csv,285,source_reference_record,source_reference_record_unreviewed
